time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,train/critic_loss,train/learning_rate,train/ent_coef_loss,train/n_updates,train/actor_loss,train/ent_coef
20,25,1,2920.0,25.0,1,,,,,,
34,50,1,2630.0,25.0,2,1859411.375,7e-05,0.0,1,2873.203857421875,1.0
57,75,1,2790.3333333333335,25.0,3,35545.58203125,7e-05,0.41948118805885315,26,277.8068542480469,1.001306176185608
87,100,1,3132.5,25.0,4,104504.671875,7e-05,0.5769288539886475,51,-343.2276611328125,1.000625729560852
101,125,1,2890.2,25.0,5,85153.5625,7e-05,-0.8749465942382812,76,-384.4378356933594,0.9990649819374084
125,150,1,3005.8333333333335,25.0,6,56587.79296875,7e-05,-2.441049337387085,101,-425.6136779785156,0.9973897933959961
140,175,1,2871.4285714285716,25.0,7,42634.796875,7e-05,-4.023090362548828,126,-496.1185302734375,0.9956948757171631
163,200,1,2934.375,25.0,8,11168.556640625,7e-05,-5.633566379547119,151,-589.2813110351562,0.9939926266670227
190,225,1,2973.1111111111113,25.0,9,3533.198486328125,7e-05,-7.2337517738342285,176,-675.5308227539062,0.9922872185707092
220,250,1,3117.4,25.0,10,9350.673828125,7e-05,-8.821696281433105,201,-680.0911254882812,0.9905802011489868
247,275,1,3218.2727272727275,25.0,11,4361.54296875,7e-05,-10.47257137298584,226,-697.279541015625,0.9888721704483032
278,300,1,3338.5,25.0,12,8849.52734375,7e-05,-12.066216468811035,251,-713.4078979492188,0.9871636033058167
306,325,1,3407.4615384615386,25.0,13,8774.6279296875,7e-05,-13.684853553771973,276,-720.09375,0.9854558706283569
337,350,1,3463.9285714285716,25.0,14,7831.1279296875,7e-05,-15.305938720703125,301,-743.9607543945312,0.9837486743927002
350,375,1,3329.5333333333333,25.0,15,5365.60888671875,7e-05,-16.932205200195312,326,-747.1296997070312,0.9820428490638733
374,400,1,3319.6875,25.0,16,2820.908935546875,7e-05,-18.553640365600586,351,-750.9490356445312,0.9803386926651001
399,425,1,3352.294117647059,25.0,17,6107.83203125,7e-05,-20.1883487701416,376,-747.3836059570312,0.9786365032196045
425,450,1,3372.6111111111113,25.0,18,10760.623046875,7e-05,-21.79509925842285,401,-789.7828979492188,0.9769359230995178
468,475,1,3397.842105263158,25.0,19,14269.365234375,7e-05,-23.452354431152344,426,-774.7839965820312,0.9752375483512878
499,500,1,3402.0,25.0,20,2730.95068359375,7e-05,-25.114831924438477,451,-775.2272338867188,0.9735409021377563
526,525,0,3374.904761904762,25.0,21,12232.5859375,7e-05,-26.712480545043945,476,-830.0930786132812,0.971846342086792
546,550,1,3328.9545454545455,25.0,22,2661.926025390625,7e-05,-28.359952926635742,501,-793.4970703125,0.9701541066169739
564,575,1,3280.391304347826,25.0,23,4424.75,7e-05,-29.985506057739258,526,-827.274658203125,0.968464732170105
